"CITY_ID","COUNTY_ID","DISTRICT_ID","CITY_NAME","NATIVE_ID"
2896,37,7,"Artesia","ART"
3274,37,7,"Avalon","AVA"
3386,37,7,"Azusa","AZU"
3666,37,7,"Baldwin Park","BWP"
4870,37,7,"Bell","BELL"
4996,37,7,"Bell Gardens","BGDN"
4982,37,7,"Bellflower","BFL"
6308,37,7,"Beverly Hills","BVHS"
7946,37,7,"Bradbury","BBY"
8954,37,7,"Burbank","BRB"
90310,37,7,"Calabasas","CAL"
11530,37,7,"Carson","CRSN"
12552,37,7,"Cerritos","CRTS"
13756,37,7,"Claremont","CLA"
14974,37,7,"Commerce","CMRC"
15044,37,7,"Compton","COM"
16742,37,7,"Covina","COV"
17498,37,7,"Cudahy","CDHY"
17568,37,7,"Culver City","CLC"
19192,37,7,"Diamond Bar","DMBR"
19766,37,7,"Downey","DNY"
19990,37,7,"Duarte","DRT"
22230,37,7,"El Monte","EMTE"
22412,37,7,"El Segundo","ESEG"
28168,37,7,"Gardena","GAR"
30000,37,7,"Glendale","GNDL"
30014,37,7,"Glendora","GDR"
32506,37,7,"Hawaiian Gardens","HGDN"
32548,37,7,"Hawthorne","HAW"
33364,37,7,"Hermosa Beach","HMB"
33518,37,7,"Hidden Hills","HIDH"
36056,37,7,"Huntington Park","HNTP"
36490,37,7,"Industry","IDY"
36546,37,7,"Inglewood","ING"
36826,37,7,"Irwindale","IRW"
39003,37,7,"La Canada-Flintridge","LCF"
40032,37,7,"La Mirada","LMRD"
40340,37,7,"La Puente","LPU"
40830,37,7,"La Verne","LVN"
39892,37,7,"Lakewood","LKW"
40130,37,7,"Lancaster","LAN"
40886,37,7,"Lawndale","LNDL"
42468,37,7,"Lomita","LMTA"
43000,37,7,"Long Beach","LBCH"
44000,37,7,"Los Angeles","LA"
44574,37,7,"Lynwood","LYN"
45246,37,7,"Malibu","MAL"
45400,37,7,"Manhattan Beach","MANB"
46492,37,7,"Maywood","MYD"
48648,37,7,"Monrovia","MNRO"
48816,37,7,"Montebello","MTBL"
48914,37,7,"Monterey Park","MONP"
52526,37,7,"Norwalk","NRW"
55156,37,7,"Palmdale","PMDL"
55380,37,7,"Palos Verdes Estates","PVE"
55618,37,7,"Paramount","PRM"
56000,37,7,"Pasadena","PAS"
56924,37,7,"Pico Rivera","PRV"
58072,37,7,"Pomona","POM"
59514,37,7,"Rancho Palos Verdes","ROPV"
60018,37,7,"Redondo Beach","RDOB"
62602,37,7,"Rolling Hills","RLH"
62644,37,7,"Rolling Hills Estate","RHE"
62896,37,7,"Rosemead","RSMD"
66070,37,7,"San Dimas","SDMS"
66140,37,7,"San Fernando","SFR"
67042,37,7,"San Gabriel","SGB"
68224,37,7,"San Marino","SMRO"
69088,37,7,"Santa Clarita","SCTA"
69154,37,7,"Santa Fe Springs","SFSP"
70000,37,7,"Santa Monica","SMCA"
71806,37,7,"Sierra Madre","SIEM"
71876,37,7,"Signal Hill","SIGH"
72996,37,7,"South El Monte","SEMT"
73080,37,7,"South Gate","SGT"
73220,37,7,"South Pasadena","SPAS"
78148,37,7,"Temple City","TMPC"
80000,37,7,"Torrance","TOR"
82422,37,7,"Vernon","VER"
83332,37,7,"Walnut","WAL"
84200,37,7,"West Covina","WCOV"
84410,37,7,"West Hollywood","WHWD"
84438,37,7,"Westlake Village","WLKV"
85292,37,7,"Whittier","WIT"
10046,111,7,"Camarillo","CMRL"
24092,111,7,"Fillmore","FIL"
49138,111,7,"Moorpark","MRPK"
53476,111,7,"Ojai","OJI"
54652,111,7,"Oxnard","OXN"
58296,111,7,"Port Hueneme","PHME"
70042,111,7,"Santa Paula","SPA"
72016,111,7,"Simi Valley","SIMV"
