"DISTRICT_ID","DISTRICT_NAME","STATE_ID","DISTRICT_LATITUDE","DISTRICT_LONGITUDE"
1,"Northwest",6,40.7245,-124.177
2,"Northeast",6,40.5977,-122.4677
3,"North Central",6,38.578909,-121.42208
4,"Bay Area",6,37.774292,-122.202315
5,"Central Coast",6,36.985984,-122.024896
6,"South Central",6,36.7496,-119.7892
7,"LA/Ventura",6,34.000111,-118.242219
8,"San Bernardino/Riverside",6,34.037701,-117.450809
9,"Eastern Sierra",6,37.4772,-118.401
10,"Central",6,37.963,-121.259
11,"San Diego/Imperial",6,32.72953,-117.158203
12,"Orange County",6,33.690253,-117.833815
